Site,Core,Season,Month,Year,Sensor,Replicate,Time,Depth_um,H2S_umol_L,H2S_Signal_mV,Temp_C,Temp_Signal_mV,Comments
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:42:23,-2000,-6.13,-0.91,23.61,250.64,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:42:43,-2000,-5.83,-0.29,23.62,250.65,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:43:03,-2000,-5.52,0.36,23.61,250.58,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:43:26,0,-5.08,1.26,23.61,250.55,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:43:46,0,-5.57,0.26,23.6,250.5,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:44:06,0,-5.56,0.26,23.6,250.5,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:44:29,2000,-5.62,0.14,23.6,250.43,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:44:49,2000,-5.36,0.68,23.6,250.45,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:45:09,2000,-5.62,0.16,23.59,250.41,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:45:32,4000,27.24,68.44,23.59,250.42,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:45:52,4000,31.77,77.87,23.59,250.39,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:46:12,4000,32.59,79.56,23.59,250.35,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:46:35,6000,86.75,192.13,23.59,250.31,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:46:55,6000,87.57,193.84,23.59,250.32,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:47:15,6000,87.81,194.34,23.58,250.27,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:47:37,8000,110.31,241.1,23.58,250.28,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:47:58,8000,106.99,234.19,23.58,250.23,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:48:18,8000,105.56,231.24,23.58,250.26,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:48:40,10000,102.83,225.56,23.58,250.21,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:49:01,10000,101.01,221.76,23.58,250.23,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:49:21,10000,99.98,219.64,23.58,250.2,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:49:43,12000,95.08,209.44,23.59,250.33,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:50:03,12000,92.06,203.17,23.58,250.24,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:50:24,12000,90.74,200.43,23.58,250.28,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:50:46,14000,146.48,316.28,23.58,250.27,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:51:06,14000,145.51,314.26,23.58,250.23,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:51:26,14000,144.26,311.66,23.58,250.19,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:51:49,16000,295.03,625.03,23.58,250.26,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:52:09,16000,296.31,627.7,23.56,250.05,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:52:29,16000,295.74,626.52,23.57,250.09,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:52:52,18000,321.06,679.14,23.57,250.11,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:53:12,18000,319.14,675.15,23.57,250.14,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:53:32,18000,307.25,650.43,23.57,250.13,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:53:55,20000,340.71,719.98,23.57,250.15,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:54:15,20000,338.03,714.42,23.57,250.14,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:54:35,20000,331.77,701.4,23.57,250.17,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:54:58,22000,359.26,758.54,23.58,250.24,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:55:18,22000,356.84,753.51,23.58,250.26,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:55:38,22000,353.82,747.22,23.59,250.3,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:56:00,24000,334.35,706.77,23.58,250.26,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:56:21,24000,343.23,725.22,23.58,250.19,
Elders East,1,Summer,August,2015,Sensor 1,1,14-08-2015 13:56:41,24000,342.54,723.78,23.57,250.14,
