Site,Core,Season,Month,Year,Sensor,Replicate,Time,Depth_um,O2_umol_L,O2_Signal_mV,Temp_C,Temp_Signal_mV
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:09:35,-2000,183.22,68.93049622,23.15429878,245.3411407
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:09:55,-2000,184.71,69.48138428,23.15485001,245.3475037
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:10:15,-2000,181.7,68.36686707,23.15441895,245.3425293
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:10:36,-1700,179.02,67.37130737,23.15574837,245.3578491
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:10:56,-1700,179.7,67.62254333,23.15483665,245.3473511
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:11:16,-1700,182.73,68.74571228,23.15657425,245.3673706
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:11:37,-1400,181.95,68.45695496,23.1565094,245.3666077
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:11:57,-1400,182.37,68.61279297,23.15883636,245.3934326
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:12:17,-1400,181.68,68.35705566,23.15830612,245.3873291
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:12:38,-1100,181.45,68.27351379,23.16092682,245.417511
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:12:58,-1100,179.88,67.69032288,23.16187286,245.4284058
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:13:18,-1100,182.61,68.70085144,23.16380692,245.4506989
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:13:39,-800,181.47,68.28070068,23.16386414,245.451355
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:13:59,-800,180.99,68.10194397,23.16448402,245.4585114
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:14:19,-800,181.29,68.21379089,23.16288948,245.4401245
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:14:39,-500,182.58,68.69334412,23.16057205,245.4134216
Elders East,1,Summer,August,2015,Sensor 1,1,13-08-2015 15:15:00,-500,181.54,68.30628967,23.16499329,245.4643707
